,Airline ID,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,type
4809,6176,Barisal Airport,Barisal,Bangladesh,22.80100059509277,90.30120086669922,23,6.0,U,airport
4810,6177,Ban Huoeisay Airport,Huay Xai,Laos,20.2572994232,100.43699646,1380,7.0,N,airport
4811,6179,Bharatpur Airport,Bharatpur,Nepal,27.678101,84.42939799999998,600,5.75,N,airport
4812,6180,Bhadrapur Airport,Chandragarhi,Nepal,26.5708007812,88.07959747310001,300,5.75,N,airport
4813,6181,Meghauli Airport,Meghauli,Nepal,27.5774,84.22875,600,5.75,N,airport
4814,6182,Nepalgunj Airport,Nepalgunj,Nepal,28.103599548339844,81.66699981689453,540,5.75,N,airport
4815,6183,Gan International Airport,Gan Island,Maldives,-0.693342,73.155602,6,5.0,U,airport
4816,6184,Hanimaadhoo Airport,Haa Dhaalu Atoll,Maldives,6.744229793548584,73.17050170898438,4,5.0,U,airport
4817,6185,Kadhdhoo Airport,Laamu Atoll,Maldives,1.8591699600219729,73.52189636230469,4,5.0,U,airport
4818,6186,Mae Sot Airport,Tak,Thailand,16.699899673461914,98.54509735107422,690,7.0,U,airport
4819,6187,Buon Ma Thuot Airport,Buonmethuot,Vietnam,12.668299675,108.120002747,1729,7.0,U,airport
4820,6188,Cat Bi International Airport,Haiphong,Vietnam,20.81940078735352,106.7249984741211,6,7.0,U,airport
4821,6189,Cam Ranh Airport,Nha Trang,Vietnam,11.99820041656494,109.21900177001952,40,7.0,U,airport
4822,6190,Co Ong Airport,Conson,Vietnam,8.73183,106.633003,20,7.0,U,airport
4823,6191,Can Tho International Airport,Can Tho,Vietnam,10.085100173999999,105.711997986,9,7.0,U,airport
4824,6192,Dien Bien Phu Airport,Dienbienphu,Vietnam,21.3974990845,103.008003235,1611,7.0,U,airport
4825,6193,Phu Cat Airport,Phucat,Vietnam,13.955,109.042,80,7.0,U,airport
4826,6194,Pleiku Airport,Pleiku,Vietnam,14.00450038909912,108.01699829101562,2434,7.0,U,airport
4827,6195,Vinh Airport,Vinh,Vietnam,18.7376003265,105.67099762,23,7.0,U,airport
4828,6196,Banmaw Airport,Banmaw,Burma,24.268999099731445,97.24620056152344,370,6.5,U,airport
4829,6197,Dawei Airport,Dawei,Burma,14.103899955749512,98.20359802246094,84,6.5,U,airport
4830,6198,Kawthoung Airport,Kawthoung,Burma,10.04930019378662,98.53800201416016,180,6.5,U,airport
4831,6199,Loikaw Airport,Loikaw,Burma,19.691499710083008,97.2147979736328,2940,6.5,U,airport
4832,6200,Mawlamyine Airport,Mawlamyine,Burma,16.444700241088867,97.66069793701172,52,6.5,U,airport
4833,6201,Pathein Airport,Pathein,Burma,16.815201000000002,94.7799,20,6.5,U,airport
4834,6202,Pakhokku Airport,Pakhokku,Burma,21.4043,95.11125,151,6.5,U,airport
4835,6203,Sumbawa Besar Airport,Sumbawa Island,Indonesia,-8.489040374755861,117.41200256347656,16,8.0,N,airport
4836,6204,Tambolaka Airport,Waikabubak-Sumba Island,Indonesia,-9.40972,119.244003,161,8.0,N,airport
4837,6205,Bokondini Airport,Bokondini-Papua Island,Indonesia,-3.6822,138.6755,4550,9.0,N,airport
4838,6206,Senggeh Airport,Senggeh-Papua Island,Indonesia,-3.45,140.779,914,9.0,N,airport
4839,6207,Tanjung Harapan Airport,Tanjung Selor-Borneo Island,Indonesia,2.83583333333,117.373611111,10,8.0,N,airport
4840,6208,Datadawai Airport,Datadawai-Borneo Island,Indonesia,0.8106,114.5306,508,8.0,N,airport
4841,6209,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,2.1555,117.431999,59,8.0,N,airport
4842,6210,Warukin Airport,Tanjung-Borneo Island,Indonesia,-2.21655988693,115.43599700899999,197,8.0,N,airport
4843,6211,Sampit(Hasan) Airport,Sampit-Borneo Island,Indonesia,-2.49919009209,112.974998474,50,7.0,N,airport
4844,6212,Dumatumbun Airport,Langgur-Kei Islands,Indonesia,-5.661620140075684,132.73100280761722,10,9.0,N,airport
4845,6213,Mali Airport,Alor Island,Indonesia,-8.132340431213379,124.59700012207031,10,8.0,N,airport
4846,6214,Belaga Airport,Belaga,Malaysia,2.65000009537,113.76699829100001,200,8.0,N,airport
4847,6215,Long Lellang Airport,Long Datih,Malaysia,3.4210000038099997,115.153999329,1400,8.0,N,airport
4848,6216,Long Seridan Airport,Long Seridan,Malaysia,3.9670000076293945,115.0500030517578,607,8.0,N,airport
4849,6217,Mukah Airport,Mukah,Malaysia,2.90639,112.080002,13,8.0,N,airport
4850,6218,Bakalalan Airport,Bakalalan,Malaysia,3.9739999771118164,115.61799621582031,2900,8.0,N,airport
4851,6219,Lawas Airport,Lawas,Malaysia,4.84917,115.407997,5,8.0,N,airport
4852,6220,Bario Airport,Bario,Malaysia,3.7338900566101074,115.47899627685548,3350,8.0,N,airport
4853,6221,Tomanggong Airport,Tomanggong,Malaysia,5.40257,118.65763,26,8.0,N,airport
4854,6222,Kudat Airport,Kudat,Malaysia,6.922500133514402,116.83599853515624,10,8.0,N,airport
4855,6223,Radin Inten II (Branti) Airport,Bandar Lampung-Sumatra Island,Indonesia,-5.240556,105.175556,282,7.0,N,airport
4856,6224,Halim Perdanakusuma International Airport,Jakarta,Indonesia,-6.266610145568848,106.89099884033205,84,7.0,N,airport
4857,6225,Ranai Airport,Ranai-Natuna Besar Island,Indonesia,3.90871,108.388,7,7.0,N,airport
4858,6226,Pangsuma Airport,Putussibau-Borneo Island,Indonesia,0.8355780243873596,112.93699645996094,297,7.0,N,airport
